dataset,channel,score,selected
old,0,,1
old,1,,1
old,2,,1
old,3,,1
old,4,,1
old,5,,1
old,6,,1
old,7,,1
nm,0,0.24738961386649264,1
nm,1,0.22423998969788322,0
nm,2,0.2091166429284099,0
nm,3,0.21966798871330542,0
nm,4,0.2404338028039141,1
nm,5,0.2326865478417132,1
nm,6,0.22849374480809712,0
nm,7,0.23161556101458014,1
nm,8,0.2458823111697729,1
nm,9,0.2393473854711229,1
nm,10,0.24328368768558545,1
nm,11,0.22721188172249915,0
nm,12,0.23662010744961198,1
nm,13,0.21854983168139117,0
nm,14,0.22616286172950237,0
nm,15,0.22069551513943353,0
hcmyo,0,,1
hcmyo,1,,1
hcmyo,2,,1
hcmyo,3,,1
hcmyo,4,,1
hcmyo,5,,1
hcmyo,6,,1
hcmyo,7,,1
