dataset,split,class,count
hcmyo,test,0,601
hcmyo,test,1,600
hcmyo,test,2,601
hcmyo,test,3,601
hcmyo,test,4,601
hcmyo,test,5,601
hcmyo,test,6,605
hcmyo,test,7,601
hcmyo,test,8,601
hcmyo,test,9,591
hcmyo,train,0,1801
hcmyo,train,1,1801
hcmyo,train,2,1805
hcmyo,train,3,1802
hcmyo,train,4,1801
hcmyo,train,5,1801
hcmyo,train,6,1813
hcmyo,train,7,1802
hcmyo,train,8,1801
hcmyo,train,9,1773
hcmyo,validation,0,600
hcmyo,validation,1,600
hcmyo,validation,2,602
hcmyo,validation,3,600
hcmyo,validation,4,600
hcmyo,validation,5,600
hcmyo,validation,6,604
hcmyo,validation,7,600
hcmyo,validation,8,600
hcmyo,validation,9,591
nm,test,0,141
nm,test,1,141
nm,test,2,141
nm,test,3,141
nm,test,4,141
nm,test,5,141
nm,test,6,141
nm,test,7,141
nm,test,8,140
nm,test,9,141
nm,train,0,421
nm,train,1,421
nm,train,2,421
nm,train,3,421
nm,train,4,421
nm,train,5,421
nm,train,6,421
nm,train,7,421
nm,train,8,420
nm,train,9,421
nm,validation,0,140
nm,validation,1,140
nm,validation,2,140
nm,validation,3,140
nm,validation,4,140
nm,validation,5,140
nm,validation,6,140
nm,validation,7,140
nm,validation,8,140
nm,validation,9,140
old,test,0,113
old,test,1,111
old,test,2,112
old,test,3,110
old,test,4,102
old,test,5,111
old,test,6,112
old,test,7,113
old,test,8,110
old,test,9,113
old,train,0,337
old,train,1,335
old,train,2,335
old,train,3,330
old,train,4,305
old,train,5,334
old,train,6,337
old,train,7,337
old,train,8,331
old,train,9,339
old,validation,0,112
old,validation,1,112
old,validation,2,112
old,validation,3,110
old,validation,4,102
old,validation,5,112
old,validation,6,112
old,validation,7,112
old,validation,8,110
old,validation,9,113
