fold,seed,train_subjects,val_subjects,test_subject,n_train,n_val,n_test,val_adapt_monitor_f1,val_zero_shot_acc,val_zero_shot_f1_macro,val_pre_adapt_proto_acc,val_pre_adapt_proto_f1_macro,val_adapt_acc,val_adapt_f1_macro,test_zero_shot_acc,test_zero_shot_f1_macro,test_pre_adapt_proto_acc,test_pre_adapt_proto_f1_macro,test_adapt_acc,test_adapt_f1_macro,test_adapt_valid,test_pre_query_total,test_pre_query_covered,test_pre_query_coverage,test_adapt_query_total,test_adapt_query_covered,test_adapt_query_coverage,test_subject_n_sessions_total,test_subject_n_sessions_adapt,test_subject_n_sessions_eval,val_subjects_sessions,n_way,k_shot,q_query,max_seq_len,best_epoch_stageA,adapt_applied_test,skip_reason_test,checkpoint
1,43,"sub-000,sub-001,sub-003,sub-004,sub-006,sub-007,sub-008,sub-009,sub-010,sub-012,sub-013,sub-014,sub-015,sub-016,sub-017,sub-018,sub-019,sub-020,sub-021,sub-022,sub-023,sub-024,sub-025,sub-026,sub-028,sub-029,sub-030,sub-031,sub-032,sub-035,sub-036,sub-037,sub-038,sub-039,sub-040,sub-041,sub-042,sub-043,sub-044,sub-045,sub-046,sub-047,sub-048,sub-049,sub-050,sub-052,sub-053,sub-054,sub-055,sub-056,sub-057,sub-058,sub-059,sub-060,sub-062,sub-063,sub-064,sub-065,sub-066,sub-067,sub-068,sub-069,sub-070,sub-071,sub-072,sub-073,sub-074,sub-075,sub-076,sub-077,sub-078,sub-079,sub-080,sub-081,sub-082,sub-083,sub-084,sub-085,sub-086,sub-087,sub-088,sub-090,sub-091,sub-092,sub-095,sub-096,sub-097,sub-099","sub-027,sub-034",sub-005,6768,130,120,0.7403571428571428,0.3833333333333333,0.3626190476190476,0.5833333333333333,0.5345238095238094,0.7,0.6798809523809524,0.21666666666666667,0.22167832167832166,0.5666666666666667,0.552112332112332,0.65,0.630048285048285,1,60.0,60.0,1.0,60.0,60.0,1.0,12,6,6,"{""sub-027"": {""n_sessions_total"": 7, ""n_sessions_adapt"": 4, ""n_sessions_eval"": 3, ""adapt_sessions"": [""ses-002"", ""ses-004"", ""ses-005"", ""ses-006""], ""eval_sessions"": [""ses-000"", ""ses-001"", ""ses-003""]}, ""sub-034"": {""n_sessions_total"": 6, ""n_sessions_adapt"": 3, ""n_sessions_eval"": 3, ""adapt_sessions"": [""ses-001"", ""ses-002"", ""ses-003""], ""eval_sessions"": [""ses-000"", ""ses-004"", ""ses-005""]}}",5,1,5,2030,47,1,,/home/bobr/Documents/LABMITING/KURSOVAYA_1/code_bobr_678/reports/artifacts/notebook02/nm_ce_then_adapt__seed42__fold1.pt
2,44,"sub-001,sub-003,sub-004,sub-005,sub-006,sub-007,sub-008,sub-009,sub-010,sub-012,sub-013,sub-014,sub-015,sub-016,sub-017,sub-018,sub-019,sub-020,sub-021,sub-022,sub-023,sub-024,sub-025,sub-026,sub-027,sub-028,sub-029,sub-030,sub-031,sub-032,sub-034,sub-035,sub-036,sub-037,sub-038,sub-039,sub-041,sub-042,sub-043,sub-044,sub-045,sub-046,sub-047,sub-048,sub-049,sub-050,sub-052,sub-053,sub-054,sub-055,sub-056,sub-057,sub-058,sub-059,sub-060,sub-062,sub-063,sub-064,sub-065,sub-066,sub-067,sub-068,sub-069,sub-071,sub-072,sub-073,sub-074,sub-075,sub-076,sub-077,sub-078,sub-079,sub-080,sub-081,sub-082,sub-083,sub-084,sub-085,sub-086,sub-087,sub-088,sub-090,sub-091,sub-092,sub-095,sub-096,sub-097,sub-099","sub-000,sub-070",sub-040,6828,100,90,0.862857142857143,0.6666666666666666,0.6174999999999999,0.5,0.4528571428571429,0.8,0.7842857142857143,0.72,0.7050000000000001,0.74,0.7435286935286936,0.68,0.6948395721925135,1,50.0,50.0,1.0,50.0,50.0,1.0,9,4,5,"{""sub-000"": {""n_sessions_total"": 4, ""n_sessions_adapt"": 2, ""n_sessions_eval"": 2, ""adapt_sessions"": [""ses-001"", ""ses-002""], ""eval_sessions"": [""ses-000"", ""ses-003""]}, ""sub-070"": {""n_sessions_total"": 6, ""n_sessions_adapt"": 3, ""n_sessions_eval"": 3, ""adapt_sessions"": [""ses-002"", ""ses-003"", ""ses-005""], ""eval_sessions"": [""ses-000"", ""ses-001"", ""ses-004""]}}",5,1,3,2012,35,1,,/home/bobr/Documents/LABMITING/KURSOVAYA_1/code_bobr_678/reports/artifacts/notebook02/nm_ce_then_adapt__seed42__fold2.pt
3,45,"sub-000,sub-001,sub-004,sub-005,sub-006,sub-007,sub-008,sub-009,sub-010,sub-012,sub-013,sub-014,sub-015,sub-016,sub-017,sub-018,sub-019,sub-020,sub-021,sub-022,sub-023,sub-024,sub-025,sub-026,sub-027,sub-028,sub-029,sub-030,sub-031,sub-032,sub-034,sub-035,sub-036,sub-037,sub-038,sub-039,sub-040,sub-041,sub-043,sub-044,sub-045,sub-046,sub-047,sub-048,sub-049,sub-050,sub-052,sub-053,sub-054,sub-055,sub-057,sub-058,sub-059,sub-060,sub-062,sub-063,sub-064,sub-065,sub-066,sub-067,sub-068,sub-069,sub-070,sub-071,sub-072,sub-073,sub-074,sub-075,sub-076,sub-077,sub-078,sub-079,sub-080,sub-081,sub-082,sub-083,sub-084,sub-085,sub-086,sub-087,sub-088,sub-090,sub-091,sub-092,sub-095,sub-096,sub-097,sub-099","sub-042,sub-056",sub-003,6779,150,89,0.5800396825396824,0.52,0.4993713450292398,0.5166666666666666,0.48631035631035635,0.5,0.5150793650793651,0.7142857142857143,0.66995670995671,0.8163265306122449,0.8078138528138528,0.7755102040816326,0.7767171717171717,1,49.0,49.0,1.0,49.0,49.0,1.0,9,4,5,"{""sub-042"": {""n_sessions_total"": 5, ""n_sessions_adapt"": 2, ""n_sessions_eval"": 3, ""adapt_sessions"": [""ses-000"", ""ses-002""], ""eval_sessions"": [""ses-001"", ""ses-003"", ""ses-004""]}, ""sub-056"": {""n_sessions_total"": 10, ""n_sessions_adapt"": 5, ""n_sessions_eval"": 5, ""adapt_sessions"": [""ses-001"", ""ses-003"", ""ses-004"", ""ses-007"", ""ses-008""], ""eval_sessions"": [""ses-000"", ""ses-002"", ""ses-005"", ""ses-006"", ""ses-009""]}}",5,1,3,2014,24,1,,/home/bobr/Documents/LABMITING/KURSOVAYA_1/code_bobr_678/reports/artifacts/notebook02/nm_ce_then_adapt__seed42__fold3.pt
4,46,"sub-001,sub-003,sub-004,sub-005,sub-006,sub-007,sub-008,sub-009,sub-010,sub-012,sub-013,sub-014,sub-015,sub-016,sub-017,sub-018,sub-019,sub-020,sub-021,sub-022,sub-023,sub-024,sub-025,sub-026,sub-027,sub-028,sub-029,sub-030,sub-031,sub-032,sub-034,sub-035,sub-037,sub-038,sub-039,sub-040,sub-041,sub-042,sub-043,sub-044,sub-045,sub-046,sub-047,sub-048,sub-049,sub-050,sub-052,sub-053,sub-054,sub-055,sub-056,sub-057,sub-058,sub-059,sub-060,sub-062,sub-063,sub-064,sub-065,sub-066,sub-067,sub-069,sub-070,sub-071,sub-072,sub-073,sub-074,sub-075,sub-076,sub-077,sub-078,sub-079,sub-080,sub-081,sub-082,sub-083,sub-084,sub-085,sub-086,sub-087,sub-088,sub-090,sub-091,sub-092,sub-095,sub-096,sub-097,sub-099","sub-000,sub-036",sub-068,6829,130,59,0.5445346320346319,0.56,0.5356127206127206,0.385,0.3913095238095238,0.44,0.49383838383838385,0.4482758620689655,0.40658730158730155,0.41379310344827586,0.4114285714285715,0.41379310344827586,0.41904761904761906,1,29.0,29.0,1.0,29.0,29.0,1.0,6,3,3,"{""sub-000"": {""n_sessions_total"": 4, ""n_sessions_adapt"": 2, ""n_sessions_eval"": 2, ""adapt_sessions"": [""ses-000"", ""ses-003""], ""eval_sessions"": [""ses-001"", ""ses-002""]}, ""sub-036"": {""n_sessions_total"": 9, ""n_sessions_adapt"": 4, ""n_sessions_eval"": 5, ""adapt_sessions"": [""ses-001"", ""ses-003"", ""ses-006"", ""ses-007""], ""eval_sessions"": [""ses-000"", ""ses-002"", ""ses-004"", ""ses-005"", ""ses-008""]}}",5,1,2,2023,33,1,,/home/bobr/Documents/LABMITING/KURSOVAYA_1/code_bobr_678/reports/artifacts/notebook02/nm_ce_then_adapt__seed42__fold4.pt
5,47,"sub-000,sub-001,sub-003,sub-004,sub-005,sub-006,sub-007,sub-008,sub-009,sub-010,sub-012,sub-013,sub-014,sub-015,sub-016,sub-017,sub-018,sub-019,sub-020,sub-021,sub-022,sub-023,sub-024,sub-025,sub-026,sub-027,sub-028,sub-029,sub-030,sub-031,sub-032,sub-034,sub-035,sub-036,sub-037,sub-038,sub-039,sub-040,sub-041,sub-042,sub-043,sub-044,sub-045,sub-046,sub-047,sub-048,sub-049,sub-050,sub-052,sub-054,sub-055,sub-056,sub-057,sub-058,sub-059,sub-060,sub-062,sub-063,sub-064,sub-065,sub-066,sub-067,sub-068,sub-069,sub-070,sub-071,sub-072,sub-073,sub-075,sub-076,sub-077,sub-078,sub-079,sub-081,sub-082,sub-083,sub-084,sub-085,sub-086,sub-087,sub-088,sub-090,sub-091,sub-092,sub-095,sub-096,sub-097,sub-099","sub-053,sub-080",sub-074,6848,130,40,0.6106993006993008,0.51,0.44702242202242204,0.33,0.29708152958152956,0.52,0.5222222222222221,0.45,0.3433333333333334,0.35,0.2819047619047619,0.35,0.2819047619047619,0,20.0,20.0,1.0,20.0,20.0,1.0,4,2,2,"{""sub-053"": {""n_sessions_total"": 2, ""n_sessions_adapt"": 1, ""n_sessions_eval"": 1, ""adapt_sessions"": [""ses-000""], ""eval_sessions"": [""ses-001""]}, ""sub-080"": {""n_sessions_total"": 11, ""n_sessions_adapt"": 6, ""n_sessions_eval"": 5, ""adapt_sessions"": [""ses-003"", ""ses-004"", ""ses-005"", ""ses-006"", ""ses-008"", ""ses-010""], ""eval_sessions"": [""ses-000"", ""ses-001"", ""ses-002"", ""ses-007"", ""ses-009""]}}",5,1,1,2029,20,0,q_query<2,/home/bobr/Documents/LABMITING/KURSOVAYA_1/code_bobr_678/reports/artifacts/notebook02/nm_ce_then_adapt__seed42__fold5.pt
6,48,"sub-000,sub-001,sub-003,sub-004,sub-005,sub-006,sub-007,sub-008,sub-009,sub-010,sub-012,sub-013,sub-014,sub-015,sub-016,sub-017,sub-018,sub-019,sub-020,sub-021,sub-022,sub-023,sub-024,sub-025,sub-026,sub-027,sub-028,sub-030,sub-031,sub-032,sub-034,sub-035,sub-036,sub-037,sub-038,sub-039,sub-040,sub-041,sub-042,sub-043,sub-044,sub-045,sub-046,sub-047,sub-048,sub-049,sub-050,sub-052,sub-053,sub-054,sub-055,sub-056,sub-057,sub-058,sub-059,sub-060,sub-063,sub-064,sub-065,sub-066,sub-067,sub-068,sub-069,sub-070,sub-071,sub-072,sub-073,sub-074,sub-075,sub-076,sub-077,sub-078,sub-079,sub-080,sub-081,sub-082,sub-083,sub-084,sub-086,sub-087,sub-088,sub-090,sub-091,sub-092,sub-095,sub-096,sub-097,sub-099","sub-062,sub-085",sub-029,6788,140,90,0.572121212121212,0.43333333333333335,0.4108547008547009,0.48,0.47324314574314574,0.56,0.5445132645132645,0.54,0.5077181590339485,0.72,0.7101387501387502,0.74,0.7408802308802308,1,50.0,50.0,1.0,50.0,50.0,1.0,9,4,5,"{""sub-062"": {""n_sessions_total"": 5, ""n_sessions_adapt"": 2, ""n_sessions_eval"": 3, ""adapt_sessions"": [""ses-002"", ""ses-004""], ""eval_sessions"": [""ses-000"", ""ses-001"", ""ses-003""]}, ""sub-085"": {""n_sessions_total"": 9, ""n_sessions_adapt"": 4, ""n_sessions_eval"": 5, ""adapt_sessions"": [""ses-001"", ""ses-003"", ""ses-006"", ""ses-008""], ""eval_sessions"": [""ses-000"", ""ses-002"", ""ses-004"", ""ses-005"", ""ses-007""]}}",5,1,3,2007,54,1,,/home/bobr/Documents/LABMITING/KURSOVAYA_1/code_bobr_678/reports/artifacts/notebook02/nm_ce_then_adapt__seed42__fold6.pt
7,49,"sub-000,sub-001,sub-003,sub-004,sub-005,sub-006,sub-007,sub-008,sub-009,sub-010,sub-012,sub-013,sub-014,sub-015,sub-016,sub-017,sub-018,sub-019,sub-020,sub-021,sub-022,sub-023,sub-024,sub-026,sub-027,sub-028,sub-029,sub-030,sub-031,sub-032,sub-034,sub-035,sub-036,sub-037,sub-038,sub-039,sub-040,sub-041,sub-042,sub-043,sub-044,sub-045,sub-046,sub-048,sub-049,sub-050,sub-052,sub-053,sub-054,sub-055,sub-056,sub-057,sub-058,sub-059,sub-060,sub-062,sub-063,sub-064,sub-065,sub-066,sub-067,sub-068,sub-069,sub-070,sub-072,sub-073,sub-074,sub-075,sub-076,sub-077,sub-078,sub-079,sub-080,sub-081,sub-082,sub-083,sub-084,sub-085,sub-086,sub-087,sub-088,sub-090,sub-091,sub-092,sub-095,sub-096,sub-097,sub-099","sub-025,sub-071",sub-047,6748,180,90,0.7531782106782107,0.5866666666666667,0.5693632756132756,0.6799999999999999,0.6820598845598846,0.7033333333333334,0.7111924186924188,0.54,0.5165873015873015,0.62,0.6033422133422134,0.64,0.6157326007326006,1,50.0,50.0,1.0,50.0,50.0,1.0,9,4,5,"{""sub-025"": {""n_sessions_total"": 11, ""n_sessions_adapt"": 6, ""n_sessions_eval"": 5, ""adapt_sessions"": [""ses-001"", ""ses-003"", ""ses-006"", ""ses-007"", ""ses-008"", ""ses-010""], ""eval_sessions"": [""ses-000"", ""ses-002"", ""ses-004"", ""ses-005"", ""ses-009""]}, ""sub-071"": {""n_sessions_total"": 7, ""n_sessions_adapt"": 4, ""n_sessions_eval"": 3, ""adapt_sessions"": [""ses-002"", ""ses-003"", ""ses-004"", ""ses-006""], ""eval_sessions"": [""ses-000"", ""ses-001"", ""ses-005""]}}",5,1,3,2042,59,1,,/home/bobr/Documents/LABMITING/KURSOVAYA_1/code_bobr_678/reports/artifacts/notebook02/nm_ce_then_adapt__seed42__fold7.pt
8,50,"sub-000,sub-001,sub-003,sub-004,sub-005,sub-006,sub-007,sub-008,sub-009,sub-010,sub-012,sub-013,sub-014,sub-015,sub-016,sub-017,sub-018,sub-019,sub-020,sub-021,sub-022,sub-023,sub-024,sub-025,sub-026,sub-027,sub-028,sub-029,sub-030,sub-031,sub-032,sub-034,sub-035,sub-036,sub-037,sub-038,sub-039,sub-040,sub-041,sub-043,sub-044,sub-045,sub-046,sub-047,sub-048,sub-049,sub-050,sub-052,sub-053,sub-054,sub-055,sub-056,sub-057,sub-058,sub-060,sub-062,sub-063,sub-064,sub-065,sub-066,sub-067,sub-068,sub-069,sub-070,sub-071,sub-072,sub-074,sub-075,sub-076,sub-077,sub-078,sub-079,sub-080,sub-081,sub-082,sub-083,sub-084,sub-085,sub-086,sub-087,sub-088,sub-090,sub-091,sub-092,sub-095,sub-096,sub-097,sub-099","sub-059,sub-073",sub-042,6758,210,50,0.6740034965034966,0.53,0.5307854864433812,0.56,0.5487824675324675,0.63,0.6249737762237761,0.8333333333333334,0.8261904761904761,0.7333333333333333,0.7050000000000001,0.7333333333333333,0.7050000000000001,0,30.0,30.0,1.0,30.0,30.0,1.0,5,2,3,"{""sub-059"": {""n_sessions_total"": 11, ""n_sessions_adapt"": 6, ""n_sessions_eval"": 5, ""adapt_sessions"": [""ses-001"", ""ses-002"", ""ses-003"", ""ses-004"", ""ses-007"", ""ses-010""], ""eval_sessions"": [""ses-000"", ""ses-005"", ""ses-006"", ""ses-008"", ""ses-009""]}, ""sub-073"": {""n_sessions_total"": 10, ""n_sessions_adapt"": 5, ""n_sessions_eval"": 5, ""adapt_sessions"": [""ses-000"", ""ses-001"", ""ses-003"", ""ses-007"", ""ses-009""], ""eval_sessions"": [""ses-002"", ""ses-004"", ""ses-005"", ""ses-006"", ""ses-008""]}}",5,1,1,2039,29,0,q_query<2,/home/bobr/Documents/LABMITING/KURSOVAYA_1/code_bobr_678/reports/artifacts/notebook02/nm_ce_then_adapt__seed42__fold8.pt
9,51,"sub-000,sub-001,sub-003,sub-004,sub-005,sub-006,sub-007,sub-008,sub-009,sub-010,sub-012,sub-013,sub-014,sub-015,sub-016,sub-017,sub-018,sub-019,sub-020,sub-021,sub-022,sub-023,sub-025,sub-026,sub-027,sub-028,sub-029,sub-030,sub-031,sub-032,sub-034,sub-035,sub-036,sub-037,sub-038,sub-039,sub-040,sub-041,sub-042,sub-043,sub-044,sub-045,sub-046,sub-047,sub-048,sub-049,sub-050,sub-052,sub-053,sub-054,sub-055,sub-056,sub-057,sub-058,sub-059,sub-060,sub-062,sub-063,sub-064,sub-065,sub-066,sub-067,sub-069,sub-070,sub-071,sub-072,sub-073,sub-074,sub-075,sub-076,sub-077,sub-078,sub-079,sub-080,sub-081,sub-082,sub-083,sub-084,sub-085,sub-086,sub-087,sub-088,sub-091,sub-092,sub-095,sub-096,sub-097,sub-099","sub-024,sub-068",sub-090,6809,139,70,0.6223809523809524,0.44612068965517243,0.4202056277056277,0.5758620689655172,0.5494841269841271,0.5978448275862069,0.5831060606060605,0.4666666666666667,0.40023809523809517,0.5,0.4883333333333334,0.6,0.5814285714285714,1,30.0,30.0,1.0,30.0,30.0,1.0,7,4,3,"{""sub-024"": {""n_sessions_total"": 8, ""n_sessions_adapt"": 4, ""n_sessions_eval"": 4, ""adapt_sessions"": [""ses-000"", ""ses-004"", ""ses-006"", ""ses-007""], ""eval_sessions"": [""ses-001"", ""ses-002"", ""ses-003"", ""ses-005""]}, ""sub-068"": {""n_sessions_total"": 6, ""n_sessions_adapt"": 3, ""n_sessions_eval"": 3, ""adapt_sessions"": [""ses-001"", ""ses-002"", ""ses-003""], ""eval_sessions"": [""ses-000"", ""ses-004"", ""ses-005""]}}",5,1,3,2025,55,1,,/home/bobr/Documents/LABMITING/KURSOVAYA_1/code_bobr_678/reports/artifacts/notebook02/nm_ce_then_adapt__seed42__fold9.pt
10,52,"sub-000,sub-001,sub-003,sub-004,sub-005,sub-006,sub-007,sub-008,sub-009,sub-010,sub-012,sub-013,sub-014,sub-015,sub-016,sub-017,sub-018,sub-019,sub-020,sub-021,sub-022,sub-023,sub-024,sub-025,sub-026,sub-027,sub-029,sub-030,sub-031,sub-032,sub-034,sub-035,sub-036,sub-037,sub-038,sub-039,sub-040,sub-041,sub-042,sub-043,sub-044,sub-045,sub-046,sub-047,sub-048,sub-049,sub-050,sub-052,sub-053,sub-054,sub-055,sub-056,sub-057,sub-059,sub-060,sub-062,sub-063,sub-064,sub-065,sub-066,sub-067,sub-068,sub-069,sub-070,sub-071,sub-073,sub-074,sub-075,sub-076,sub-077,sub-078,sub-079,sub-080,sub-081,sub-082,sub-083,sub-084,sub-085,sub-086,sub-087,sub-088,sub-090,sub-091,sub-092,sub-095,sub-096,sub-097,sub-099","sub-058,sub-072",sub-028,6798,140,80,0.691991341991342,0.5,0.43612681436210843,0.625,0.6251187701187702,0.62,0.6091086691086691,0.525,0.5206565656565657,0.5,0.4753968253968253,0.525,0.48740981240981246,1,40.0,40.0,1.0,40.0,40.0,1.0,8,4,4,"{""sub-058"": {""n_sessions_total"": 4, ""n_sessions_adapt"": 2, ""n_sessions_eval"": 2, ""adapt_sessions"": [""ses-001"", ""ses-003""], ""eval_sessions"": [""ses-000"", ""ses-002""]}, ""sub-072"": {""n_sessions_total"": 10, ""n_sessions_adapt"": 5, ""n_sessions_eval"": 5, ""adapt_sessions"": [""ses-001"", ""ses-002"", ""ses-003"", ""ses-004"", ""ses-006""], ""eval_sessions"": [""ses-000"", ""ses-005"", ""ses-007"", ""ses-008"", ""ses-009""]}}",5,1,3,2028,32,1,,/home/bobr/Documents/LABMITING/KURSOVAYA_1/code_bobr_678/reports/artifacts/notebook02/nm_ce_then_adapt__seed42__fold10.pt
