fold,subject_role,subject,n_sessions_total,n_sessions_adapt,n_sessions_eval,adapt_sessions,eval_sessions
1,test,sub-005,12,6,6,ses-000;ses-001;ses-004;ses-005;ses-006;ses-011,ses-002;ses-003;ses-007;ses-008;ses-009;ses-010
1,validation,sub-027,7,4,3,ses-002;ses-004;ses-005;ses-006,ses-000;ses-001;ses-003
1,validation,sub-034,6,3,3,ses-001;ses-002;ses-003,ses-000;ses-004;ses-005
2,test,sub-040,9,4,5,ses-000;ses-002;ses-006;ses-007,ses-001;ses-003;ses-004;ses-005;ses-008
2,validation,sub-000,4,2,2,ses-001;ses-002,ses-000;ses-003
2,validation,sub-070,6,3,3,ses-002;ses-003;ses-005,ses-000;ses-001;ses-004
3,test,sub-003,9,4,5,ses-003;ses-006;ses-007;ses-008,ses-000;ses-001;ses-002;ses-004;ses-005
3,validation,sub-042,5,2,3,ses-000;ses-002,ses-001;ses-003;ses-004
3,validation,sub-056,10,5,5,ses-001;ses-003;ses-004;ses-007;ses-008,ses-000;ses-002;ses-005;ses-006;ses-009
4,test,sub-068,6,3,3,ses-001;ses-002;ses-004,ses-000;ses-003;ses-005
4,validation,sub-000,4,2,2,ses-000;ses-003,ses-001;ses-002
4,validation,sub-036,9,4,5,ses-001;ses-003;ses-006;ses-007,ses-000;ses-002;ses-004;ses-005;ses-008
5,test,sub-074,4,2,2,ses-001;ses-002,ses-000;ses-003
5,validation,sub-053,2,1,1,ses-000,ses-001
5,validation,sub-080,11,6,5,ses-003;ses-004;ses-005;ses-006;ses-008;ses-010,ses-000;ses-001;ses-002;ses-007;ses-009
6,test,sub-029,9,4,5,ses-000;ses-002;ses-004;ses-005,ses-001;ses-003;ses-006;ses-007;ses-008
6,validation,sub-062,5,2,3,ses-002;ses-004,ses-000;ses-001;ses-003
6,validation,sub-085,9,4,5,ses-001;ses-003;ses-006;ses-008,ses-000;ses-002;ses-004;ses-005;ses-007
7,test,sub-047,9,4,5,ses-001;ses-005;ses-006;ses-008,ses-000;ses-002;ses-003;ses-004;ses-007
7,validation,sub-025,11,6,5,ses-001;ses-003;ses-006;ses-007;ses-008;ses-010,ses-000;ses-002;ses-004;ses-005;ses-009
7,validation,sub-071,7,4,3,ses-002;ses-003;ses-004;ses-006,ses-000;ses-001;ses-005
8,test,sub-042,5,2,3,ses-001;ses-002,ses-000;ses-003;ses-004
8,validation,sub-059,11,6,5,ses-001;ses-002;ses-003;ses-004;ses-007;ses-010,ses-000;ses-005;ses-006;ses-008;ses-009
8,validation,sub-073,10,5,5,ses-000;ses-001;ses-003;ses-007;ses-009,ses-002;ses-004;ses-005;ses-006;ses-008
9,test,sub-090,7,4,3,ses-002;ses-004;ses-005;ses-006,ses-000;ses-001;ses-003
9,validation,sub-024,8,4,4,ses-000;ses-004;ses-006;ses-007,ses-001;ses-002;ses-003;ses-005
9,validation,sub-068,6,3,3,ses-001;ses-002;ses-003,ses-000;ses-004;ses-005
10,test,sub-028,8,4,4,ses-000;ses-001;ses-003;ses-007,ses-002;ses-004;ses-005;ses-006
10,validation,sub-058,4,2,2,ses-001;ses-003,ses-000;ses-002
10,validation,sub-072,10,5,5,ses-001;ses-002;ses-003;ses-004;ses-006,ses-000;ses-005;ses-007;ses-008;ses-009
