run,target_subject,class,n_total,n_adapt,n_eval
1,S01,0,1002,100,902
1,S01,1,1001,100,901
1,S01,2,1008,101,907
1,S01,3,1003,100,903
1,S01,4,1002,100,902
1,S01,5,1002,100,902
1,S01,6,1002,100,902
1,S01,7,1003,100,903
1,S01,8,1002,100,902
1,S01,9,975,98,877
2,S02,0,1000,100,900
2,S02,1,1000,100,900
2,S02,2,1000,100,900
2,S02,3,1000,100,900
2,S02,4,1000,100,900
2,S02,5,1000,100,900
2,S02,6,1020,102,918
2,S02,7,1000,100,900
2,S02,8,1000,100,900
2,S02,9,980,98,882
3,S03,0,1000,100,900
3,S03,1,1000,100,900
3,S03,2,1000,100,900
3,S03,3,1000,100,900
3,S03,4,1000,100,900
3,S03,5,1000,100,900
3,S03,6,1000,100,900
3,S03,7,1000,100,900
3,S03,8,1000,100,900
3,S03,9,1000,100,900
